,0,1,2,Class
0,0.09133721817137734,,,0
1,0.3391484654518859,,,0
2,1.169620470771869,,,0
3,0.6785138228148595,,,0
4,0.8143797262795689,,,0
5,0.12271068046955558,,,0
6,0.7821169444716947,,,0
7,0.050188295418701685,0.1666360473074201,,0
8,0.6870107327695458,,,0
9,0.5422925456219823,,,0
10,0.11813264906423548,0.07308505273738738,0.022573664938490293,0
11,1.038913730978169,0.6364220257369272,,0
12,0.2759181661204868,0.5587724130801115,,0
13,0.3569316942117872,0.22419441081140742,,0
14,0.8209252423169713,,,0
15,0.35088513927607956,0.11793737796006135,,0
16,0.5483078672065741,0.42330307608793627,,0
17,1.0310348283984792,,,0
18,0.13292309855991993,0.16326823888310832,,0
19,0.8813579499240868,,,0
20,0.8620860541966201,0.5043398673778876,0.2710109284350499,0
21,0.6803991684931234,0.41024569746534284,0.400909600088228,0
22,1.7823268499157798,,,0
23,1.8074353161244956,,,0
24,0.9788694717147173,0.9093318923925071,,0
25,0.5147741855371927,,,0
26,1.2602396263881408,,,0
27,0.8967365855831027,0.6899975431104315,,0
28,0.5511940117252538,,,0
29,0.8065896806100229,,,0
30,0.33596873170820835,,,0
31,0.9989417423047556,,,0
32,0.4517444901466233,,,0
33,0.5477930074756666,,,0
34,0.32602701206627993,0.4175649329819187,,0
35,0.3675266270691609,,,0
36,0.8117386315827685,,,0
37,1.3391913493135703,,,0
38,0.7198185593540706,,,0
39,0.5079367556216663,,,0
40,0.35021031848978124,,,0
41,1.358710503202805,1.2717928953736353,,0
42,0.8200583276549888,0.5710976989345035,,0
43,0.3689742676124354,,,0
44,1.8074353161244956,1.7858452317020237,,0
45,1.3541723822798748,,,0
46,1.1332215319882524,0.890803790330358,,0
47,0.3892433197156896,,,0
48,0.620382865173345,,,0
49,1.0927897212263311,0.9374646747016836,,0
50,1.6943080982091245,,,0
51,1.0984983754901396,1.0395378996963558,,0
52,0.6921862450357532,,,0
53,1.1727540066023188,,,0
54,1.452944490474658,,,0
55,0.3176229576268478,,,0
56,1.5366804324036245,,,0
57,0.6858172096888846,,,0
58,1.5489827873796675,,,0
59,0.38587703717941135,0.3368848158863059,,0
60,0.6581500010920079,,,0
61,0.5844069779871806,0.33362239406742616,,0
62,0.3884754189929752,0.4082920520916713,,0
63,0.9852921055289303,0.727029035469147,,0
64,1.8233280401288514,,,0
65,0.321623805256877,0.4848312487135975,0.45457238466157845,0
66,0.37550340312192954,,,0
67,0.520181974556936,,,0
68,0.246297801693525,,,0
